mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.056404495239257814,0.004954532397353785,0.1054102897644043,0.005538317483837762,1,1,"{'n_neighbors': 1, 'p': 1}",-644205.5362066968,-683344.8510022013,-618769.2107763615,-638335.3165701043,-693322.496755504,-655595.4822621737,28203.452095305944,39,-158.2149995654819,-44.333536108455725,-117.75172353861306,-159.18110190603093,-102.06158391750188,-116.30858900721668,42.37845593982485
0.06001081466674805,0.004317236369303857,0.16218557357788085,0.012806036820837054,1,2,"{'n_neighbors': 1, 'p': 2}",-782096.9914262542,-812776.9754373769,-724589.1557358053,-752105.8121668597,-788376.3862108922,-771989.0641954377,30582.55467561686,40,-158.2149995654819,-44.333536108455725,-117.75172353861306,-159.18110190603093,-102.06158391750188,-116.30858900721668,42.37845593982485
0.06340222358703614,0.013803553751868277,0.21299610137939454,0.09879591979641271,2,1,"{'n_neighbors': 2, 'p': 1}",-508735.34095122234,-558756.6348916696,-505474.25263615296,-481519.6079663963,-548822.3858342989,-520661.64445594803,28807.11112694326,19,-166061.556603227,-162820.09241476204,-162135.51578703435,-167725.25301981345,-164782.32958693008,-164704.9494823534,2055.39678404307
0.05678887367248535,0.003541984425018747,0.18639183044433594,0.014507846536648874,2,2,"{'n_neighbors': 2, 'p': 2}",-593846.4025605376,-685440.7172691461,-591293.9945828505,-591373.2978273465,-636324.1495365006,-619655.7123552762,37083.4360549167,38,-193716.57166652184,-193485.3961863793,-195257.12053907654,-200481.89964370546,-193960.3127643242,-195380.26016000146,2623.604706364411
0.05380568504333496,0.0007385431117107016,0.16998257637023925,0.007067228707732659,3,1,"{'n_neighbors': 3, 'p': 1}",-472951.8508992134,-506681.9268270704,-462175.51121411094,-446229.72296897124,-494062.0716364105,-476420.2167091553,21695.221837276786,18,-230775.53827782764,-228289.02564622503,-225700.3063296191,-237016.38120940592,-226073.98488564455,-229571.04726974448,4141.001237590943
0.054397296905517575,0.0012210750702358701,0.22539477348327636,0.019077192049291137,3,2,"{'n_neighbors': 3, 'p': 2}",-539523.605182868,-629633.2302939019,-551902.3915797605,-552942.3344920819,-591052.311304236,-573010.7745705696,33170.15578234178,37,-278450.64668848907,-270848.54338582954,-276943.9539810362,-282307.85449214344,-272562.472841795,-276222.69427785865,4118.054907557527
0.05281357765197754,0.0007608907641234831,0.19440197944641113,0.007010725419741786,4,1,"{'n_neighbors': 4, 'p': 1}",-450549.33353609085,-480236.534077743,-439652.89057792583,-422647.74756662804,-456725.93290845887,-449962.48773336934,19052.502641794952,16,-267179.3976601199,-263879.0946362359,-266453.4845062569,-274772.103046608,-260587.55034289727,-266574.3260384236,4705.103989479478
0.05480828285217285,0.0014516502462372648,0.24621958732604982,0.011492237500642962,4,2,"{'n_neighbors': 4, 'p': 2}",-519906.7625637238,-604397.8996929672,-521789.28755069524,-537617.2426709154,-574099.7190252028,-551562.1823007008,32810.077097627116,34,-327625.2806154225,-318794.6722357406,-322658.97718302824,-330126.45105295174,-320460.0056884016,-323933.0773551089,4291.3636037496
0.056001138687133786,0.0015479431183201902,0.2411099910736084,0.014683429405905075,5,1,"{'n_neighbors': 5, 'p': 1}",-427208.0898667593,-474232.1892156181,-430854.69393742754,-420825.84146002313,-450243.8366906141,-440672.93023408845,19439.30418862414,8,-293170.08225370065,-285572.8614315924,-291366.4326701813,-298072.97183477203,-283260.53491570597,-290288.57662119047,5323.401115399839
0.06039891242980957,0.009970034884972069,0.28060159683227537,0.008752937886078307,5,2,"{'n_neighbors': 5, 'p': 2}",-518246.1415270536,-593293.0803939289,-515606.71772421786,-526575.0439490151,-560124.355133256,-542769.0677454943,29850.61282494997,28,-356304.8137805973,-347847.59203151707,-355127.00977116043,-362535.2121499334,-349330.13886101625,-354228.9533188449,5269.341377988055
0.055201244354248044,0.001163413448307217,0.2610055923461914,0.04075372435524959,6,1,"{'n_neighbors': 6, 'p': 1}",-421725.3607957106,-467068.4032363959,-431163.5846015193,-418314.91700785374,-446324.9099942063,-436919.4351271371,17930.649960562427,5,-309331.41326133214,-302214.61739472585,-308693.7996639824,-314352.43957154534,-302855.7721477126,-307489.60840785963,4499.74981427521
0.07559890747070312,0.020322404904941544,0.5028778553009033,0.16336229146571676,6,2,"{'n_neighbors': 6, 'p': 2}",-516834.5289975412,-585079.9727500353,-510249.8605896743,-516527.75872923905,-558488.9862108921,-537436.2214554764,29372.90487539861,21,-380747.0807817464,-372334.0533813557,-378893.6191390031,-388951.7500659804,-370681.3335948413,-378321.56739258545,6533.523377017789
0.06339688301086426,0.01070882964975132,0.3734930992126465,0.14964935648765207,7,1,"{'n_neighbors': 7, 'p': 1}",-412359.4638524162,-461507.56045247434,-433044.3868564807,-415251.3317473455,-447946.66858609027,-434021.8822989614,18825.04509957291,2,-325243.14606430044,-314950.14789991773,-323376.1309298182,-330886.5545124138,-314376.94324471,-321766.584530232,6307.480936986872
0.05580453872680664,0.0007150218644845115,0.33118700981140137,0.015460741446942287,7,2,"{'n_neighbors': 7, 'p': 2}",-515902.1305545506,-582371.5370933914,-509950.67068366165,-512052.6896516661,-557414.6336864757,-535538.332333949,29202.0748925727,20,-401235.84402868646,-389530.04135016305,-397379.5476058449,-401076.87773250777,-387545.90286052437,-395353.6427155453,5767.757562152022
0.060195541381835936,0.003295082355088616,0.3356159210205078,0.059166948010004626,8,1,"{'n_neighbors': 8, 'p': 1}",-414353.05665080814,-464778.78100017377,-429011.76814346755,-416635.3171730156,-446284.6062970742,-434212.7058529079,19028.58766453313,4,-340545.4580309811,-326773.09657346254,-335386.6933047224,-344657.57901573635,-326625.4202872444,-334797.64944242936,7235.762095931673
0.055988502502441403,0.0010710949653641299,0.3698066234588623,0.04166976267019379,8,2,"{'n_neighbors': 8, 'p': 2}",-522875.10901474336,-584822.4404852422,-514775.13557901216,-508225.72100412805,-559458.4788419757,-538031.3769850202,29351.20668402853,24,-413805.6974282864,-404031.59585062356,-412225.2496211655,-417581.11981399544,-404370.8506799106,-410402.90267879626,5355.482494445625
