mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.05885124206542969,0.0030987123695402695,0.10649042129516602,0.00641853984384825,1,1,"{'n_neighbors': 1, 'p': 1}",-644205.5362066968,-683344.8510022013,-618769.2107763615,-638335.3165701043,-693322.496755504,-655595.4822621737,28203.452095305944,39,-158.2149995654819,-44.333536108455725,-117.75172353861306,-159.18110190603093,-102.06158391750188,-116.30858900721668,42.37845593982485
0.05400066375732422,0.001318934677476203,0.13331227302551268,0.003937892248377116,1,2,"{'n_neighbors': 1, 'p': 2}",-782096.9914262542,-812776.9754373769,-724589.1557358053,-752105.8121668597,-788376.3862108922,-771989.0641954377,30582.55467561686,40,-158.2149995654819,-44.333536108455725,-117.75172353861306,-159.18110190603093,-102.06158391750188,-116.30858900721668,42.37845593982485
0.060517406463623045,0.004408496363028924,0.1720963954925537,0.051119832416192466,2,1,"{'n_neighbors': 2, 'p': 1}",-508735.34095122234,-558756.6348916696,-505474.25263615296,-481519.6079663963,-548822.3858342989,-520661.64445594803,28807.11112694326,19,-166061.556603227,-162820.09241476204,-162135.51578703435,-167725.25301981345,-164782.32958693008,-164704.9494823534,2055.39678404307
0.05733027458190918,0.002476708709013994,0.21581850051879883,0.03087033264317898,2,2,"{'n_neighbors': 2, 'p': 2}",-593846.4025605376,-685440.7172691461,-591293.9945828505,-591373.2978273465,-636324.1495365006,-619655.7123552762,37083.4360549167,38,-193716.57166652184,-193485.3961863793,-195257.12053907654,-200481.89964370546,-193960.3127643242,-195380.26016000146,2623.604706364411
0.05801281929016113,0.00455416206706795,0.17657709121704102,0.009239059311570987,3,1,"{'n_neighbors': 3, 'p': 1}",-472951.8508992134,-506681.9268270704,-462175.51121411094,-446229.72296897124,-494062.0716364105,-476420.2167091553,21695.221837276786,18,-230775.53827782764,-228289.02564622503,-225700.3063296191,-237016.38120940592,-226073.98488564455,-229571.04726974448,4141.001237590943
0.05769262313842773,0.005585904449071336,0.21602048873901367,0.005931960900304661,3,2,"{'n_neighbors': 3, 'p': 2}",-539523.605182868,-629633.2302939019,-551902.3915797605,-552942.3344920819,-591052.311304236,-573010.7745705696,33170.15578234178,37,-278450.64668848907,-270848.54338582954,-276943.9539810362,-282307.85449214344,-272562.472841795,-276222.69427785865,4118.054907557527
0.05559439659118652,0.0030127419331209475,0.20580735206604003,0.014026664152930373,4,1,"{'n_neighbors': 4, 'p': 1}",-450549.33353609085,-480236.534077743,-439652.89057792583,-422647.74756662804,-456725.93290845887,-449962.48773336934,19052.502641794952,16,-267179.3976601199,-263879.0946362359,-266453.4845062569,-274772.103046608,-260587.55034289727,-266574.3260384236,4705.103989479478
0.055612707138061525,0.0018602960359261108,0.2544092655181885,0.010007496963005404,4,2,"{'n_neighbors': 4, 'p': 2}",-519906.7625637238,-604397.8996929672,-521789.28755069524,-537617.2426709154,-574099.7190252028,-551562.1823007008,32810.077097627116,34,-327625.2806154225,-318794.6722357406,-322658.97718302824,-330126.45105295174,-320460.0056884016,-323933.0773551089,4291.3636037496
0.05916891098022461,0.006582845645174637,0.23834624290466308,0.016294736994802425,5,1,"{'n_neighbors': 5, 'p': 1}",-427208.0898667593,-474232.1892156181,-430854.69393742754,-420825.84146002313,-450243.8366906141,-440672.93023408845,19439.30418862414,8,-293170.08225370065,-285572.8614315924,-291366.4326701813,-298072.97183477203,-283260.53491570597,-290288.57662119047,5323.401115399839
0.055813264846801755,0.0014755115636638841,0.28319692611694336,0.01439851292430609,5,2,"{'n_neighbors': 5, 'p': 2}",-518246.1415270536,-593293.0803939289,-515606.71772421786,-526575.0439490151,-560124.355133256,-542769.0677454943,29850.61282494997,28,-356304.8137805973,-347847.59203151707,-355127.00977116043,-362535.2121499334,-349330.13886101625,-354228.9533188449,5269.341377988055
0.06400189399719239,0.019024969752326464,0.2682944774627686,0.04439627132466031,6,1,"{'n_neighbors': 6, 'p': 1}",-421725.3607957106,-467068.4032363959,-431163.5846015193,-418314.91700785374,-446324.9099942063,-436919.4351271371,17930.649960562427,5,-309331.41326133214,-302214.61739472585,-308693.7996639824,-314352.43957154534,-302855.7721477126,-307489.60840785963,4499.74981427521
0.05739855766296387,0.0011840421142836504,0.3350740909576416,0.03850072414047839,6,2,"{'n_neighbors': 6, 'p': 2}",-516834.5289975412,-585079.9727500353,-510249.8605896743,-516527.75872923905,-558488.9862108921,-537436.2214554764,29372.90487539861,21,-380747.0807817464,-372334.0533813557,-378893.6191390031,-388951.7500659804,-370681.3335948413,-378321.56739258545,6533.523377017789
0.05650806427001953,0.0033213998382859594,0.27901425361633303,0.01658121022438675,7,1,"{'n_neighbors': 7, 'p': 1}",-412359.4638524162,-461507.56045247434,-433044.3868564807,-415251.3317473455,-447946.66858609027,-434021.8822989614,18825.04509957291,2,-325243.14606430044,-314950.14789991773,-323376.1309298182,-330886.5545124138,-314376.94324471,-321766.584530232,6307.480936986872
0.05845866203308105,0.0016080132652417389,0.4390470027923584,0.16388677271581845,7,2,"{'n_neighbors': 7, 'p': 2}",-515902.1305545506,-582371.5370933914,-509950.67068366165,-512052.6896516661,-557414.6336864757,-535538.332333949,29202.0748925727,20,-401235.84402868646,-389530.04135016305,-397379.5476058449,-401076.87773250777,-387545.90286052437,-395353.6427155453,5767.757562152022
0.0598088264465332,0.0033277128323658737,0.3583971977233887,0.04015086648084598,8,1,"{'n_neighbors': 8, 'p': 1}",-414353.05665080814,-464778.78100017377,-429011.76814346755,-416635.3171730156,-446284.6062970742,-434212.7058529079,19028.58766453313,4,-340545.4580309811,-326773.09657346254,-335386.6933047224,-344657.57901573635,-326625.4202872444,-334797.64944242936,7235.762095931673
0.06261425018310547,0.004767418314061354,0.3931920051574707,0.029120030515508644,8,2,"{'n_neighbors': 8, 'p': 2}",-522875.10901474336,-584822.4404852422,-514775.13557901216,-508225.72100412805,-559458.4788419757,-538031.3769850202,29351.20668402853,24,-413805.6974282864,-404031.59585062356,-412225.2496211655,-417581.11981399544,-404370.8506799106,-410402.90267879626,5355.482494445625
0.06280684471130371,0.00487960435064341,0.36002087593078613,0.042131236236836164,9,1,"{'n_neighbors': 9, 'p': 1}",-415835.7660199882,-463438.2909552274,-430576.62138677883,-411697.1545870707,-444949.23178547417,-433299.4129469079,19095.132210513526,1,-350399.8418550741,-340674.1723137929,-346087.2209766397,-357583.8032147687,-338353.86107338243,-346619.7798867315,6905.909907539121
0.06698188781738282,0.018219574509519967,0.38280496597290037,0.01419065208330847,9,2,"{'n_neighbors': 9, 'p': 2}",-528440.4455072227,-586654.3189665161,-518899.5321116403,-502045.00743744907,-552784.4471953993,-537764.7502436455,29443.23476304002,22,-427185.4380139339,-415768.44755759684,-423103.2850520799,-433452.26612659235,-417434.4737218921,-423388.782094419,6469.823834485887
0.05820045471191406,0.0029952499679162686,0.3372175693511963,0.03160272471200716,10,1,"{'n_neighbors': 10, 'p': 1}",-417484.6073421387,-457910.9495597266,-432984.78884009266,-414413.8393719583,-447625.87488760136,-434084.01200030354,16821.23195077798,3,-358215.7496497784,-348961.9818913125,-355923.65436735994,-366071.8195599907,-350774.4532474944,-355989.53174318717,6053.039141686747
0.08639554977416992,0.03331108172433789,0.6431854248046875,0.1468847876052402,10,2,"{'n_neighbors': 10, 'p': 2}",-530299.3800034759,-583794.8438245857,-519846.19396523753,-500911.4858076478,-558357.6599895712,-538641.9127181036,29236.825711269747,26,-438608.0093299731,-426010.15963674284,-435229.75959446153,-444402.12780458835,-427711.41016858816,-434392.29330687074,6834.687445864233
0.0700098991394043,0.007986072511412418,0.45078253746032715,0.06744924475905066,11,1,"{'n_neighbors': 11, 'p': 1}",-423761.09432173666,-456827.88793039887,-440208.9933510817,-414338.25271922856,-453246.54858029366,-437676.5553805479,16455.563778493575,6,-366684.42534823105,-356938.37901998096,-365280.8989979321,-372044.52876881487,-357512.07199577126,-363692.06082614604,5745.378190945313
0.07630209922790528,0.008135017156670041,0.9205256938934326,0.46397798167100646,11,2,"{'n_neighbors': 11, 'p': 2}",-528263.2978893111,-579960.4031776673,-525832.8839211669,-499548.4138800839,-556354.8871043735,-537991.9771945204,27636.727557455386,23,-448981.3161381466,-433192.92936770315,-445359.91213627823,-456858.959865095,-437482.4241726799,-444375.10833598056,8373.574616570751
0.08940396308898926,0.01561172950487119,0.6289995193481446,0.11901677212631578,12,1,"{'n_neighbors': 12, 'p': 1}",-425986.88978520577,-459827.0361737085,-445118.9832407944,-417171.4687733359,-452665.41207271145,-440153.95800915116,16106.635876808683,7,-373904.513899953,-365515.55998502526,-372110.82066407736,-379641.2682271048,-367787.22943722684,-371791.87844267744,4931.678410896717
0.11240382194519043,0.017535067599491846,1.1835790634155274,0.09945696741047291,12,2,"{'n_neighbors': 12, 'p': 2}",-526412.919973545,-576309.3648444238,-523515.5122151409,-502582.2949755376,-563873.4344124179,-538538.7052842131,27327.881971677605,25,-457476.375610337,-442117.6473909601,-454402.88225423085,-464713.59530154685,-446883.4100907473,-453118.78212956444,7937.027863960253
0.10920381546020508,0.009865593261181131,1.103205156326294,0.07349069171129893,13,1,"{'n_neighbors': 13, 'p': 1}",-427935.0401614107,-463005.6374092562,-448412.36388475593,-419482.25909206225,-447332.77695393114,-441233.61550028325,15573.880367147793,9,-378691.75288825994,-371557.8996751656,-377859.3480788685,-385470.8561296475,-374746.3329363079,-377665.23794164986,4644.107537713966
0.12490711212158204,0.01529974859603072,1.3357039928436278,0.2128727884336498,13,2,"{'n_neighbors': 13, 'p': 2}",-530296.4713558324,-580799.7758835462,-522496.4761112674,-504375.77227368404,-565798.6292854842,-540753.4249819629,28273.557105211385,27,-465678.25730089,-448608.3420634623,-461842.9895835226,-473064.3551034603,-454703.70858425245,-460779.53052711755,8498.221283768216
0.10099964141845703,0.019677239569574314,0.9996571063995361,0.1929595955143357,14,1,"{'n_neighbors': 14, 'p': 1}",-432900.0452492085,-465341.3118895108,-450592.2959845816,-418919.59050949465,-448318.58855854045,-443214.36643826717,15916.720779520543,10,-382997.7868960567,-376857.5447587656,-384014.64227455074,-390820.72104981274,-381227.73306315165,-383183.68560846744,4536.4119313471065
0.11639552116394043,0.02348356369903106,1.595408058166504,0.11088549552013646,14,2,"{'n_neighbors': 14, 'p': 2}",-530457.5808139383,-585765.861015348,-525678.4388813347,-506946.3078274646,-566348.3057381702,-543039.2988552512,28744.641257547457,29,-470334.6551640557,-455166.401988822,-468333.2406290162,-478196.7710952437,-461640.4312127493,-466734.3000179774,7831.6176575532845
0.13180160522460938,0.01891184993754229,1.733524227142334,0.16260953173224277,15,1,"{'n_neighbors': 15, 'p': 1}",-432340.30403223523,-466805.34884537646,-453954.33475267154,-419404.8428046865,-447818.95761040295,-444064.7576090746,16580.750606295467,11,-387976.3617132245,-381378.8305509368,-388969.13811070565,-396439.29165041295,-385294.16305286804,-388011.5570156296,4966.330670456297
0.12131829261779785,0.007555147533046752,1.607418966293335,0.07611419405384703,15,2,"{'n_neighbors': 15, 'p': 2}",-526882.1212827148,-586413.5551832542,-527525.8399515902,-508366.36424822966,-567147.4527240891,-543267.0666779757,28865.910664984658,30,-475469.23559353565,-461635.65808548103,-473476.5133657764,-483594.4681926501,-468897.27425680246,-472614.6298988491,7263.677041126008
0.12250642776489258,0.005015383760009986,1.5998281002044679,0.06258065820327388,16,1,"{'n_neighbors': 16, 'p': 1}",-434121.38270795316,-469639.58128539205,-454510.08262012963,-418778.66797689744,-449870.67050713353,-445384.0770195012,17472.487287265394,12,-392033.12698056526,-385557.52229326894,-391171.38012592064,-401020.0479164554,-390091.5758599136,-391974.7306352248,5043.676867205572
0.11779356002807617,0.005498648381412014,1.6711039066314697,0.049815363687450216,16,2,"{'n_neighbors': 16, 'p': 2}",-530066.7717516257,-589451.8165302579,-528461.122868989,-508480.1302723059,-566139.1705582815,-544519.8023962921,29161.31760959803,31,-478789.83069589885,-468665.1199064066,-478777.2617895834,-488136.13362244546,-475290.90151852893,-477931.84950657265,6299.605570590951
0.11240115165710449,0.00618601720058464,1.5865148067474366,0.10047122275769822,17,1,"{'n_neighbors': 17, 'p': 1}",-433852.3671327985,-471678.3815413098,-456968.7621009033,-417973.0014947456,-450079.3667551432,-446110.3758049801,18597.58569883996,13,-396257.4697818458,-390749.77993115666,-394418.4990405797,-404524.8345550273,-394064.82820974296,-396003.08230367047,4616.273243427235
0.12299923896789551,0.005331616300939686,1.7694299697875977,0.06561690888039921,17,2,"{'n_neighbors': 17, 'p': 2}",-536180.9292026529,-593823.6706729063,-526087.7635491386,-510480.8456775472,-565632.4915263003,-546441.140125709,29752.60261788487,32,-484640.7678862343,-476198.5392635484,-483895.90797543677,-493203.41364084766,-481622.37968456605,-483912.20169012656,5506.388408908781
0.11359915733337403,0.007116648032885529,1.7262208461761475,0.1422732062322247,18,1,"{'n_neighbors': 18, 'p': 1}",-432666.88939274306,-471296.762922483,-456270.24503132905,-417597.19279036665,-453343.10029683996,-446234.83808675234,18886.71925214805,14,-400517.16276923585,-394440.37247912434,-397097.4731431773,-409023.510173062,-397988.6401267827,-399813.43173827644,4997.936443310736
0.12140345573425293,0.005084713802981349,1.7619170665740966,0.0404085246841859,18,2,"{'n_neighbors': 18, 'p': 2}",-539900.1275444815,-596514.9707735968,-529592.5542473141,-515858.85627691227,-565294.8068412658,-549432.2631367141,28565.892099276767,33,-490246.4733092328,-482261.54509716935,-488897.5675791998,-500035.72913854895,-485994.3232703282,-489487.12767889583,5943.162557661027
0.11600446701049805,0.007268233209971522,1.6735161781311034,0.11587555568598855,19,1,"{'n_neighbors': 19, 'p': 1}",-436422.92695594794,-473664.1411465018,-456510.7429366091,-420628.0464886068,-455344.3275531788,-448514.0370161689,18258.977640362125,15,-404591.8707702991,-398110.95116249047,-401175.5596734573,-413435.1078140223,-401797.4489492509,-403822.187673904,5229.207872217921
0.11240067481994628,0.015134829746666686,1.7502156734466552,0.09618963433700434,19,2,"{'n_neighbors': 19, 'p': 2}",-544027.5411993294,-602759.7589982768,-533674.7295991243,-519993.66186882707,-568545.421117791,-553800.2225566697,29181.779940301953,35,-497099.61505433964,-488594.3516630168,-494427.14493226924,-507237.74636728497,-490525.1364590503,-495576.79889519216,6540.523403440634
0.12079997062683105,0.0064928643495788824,1.8051387310028075,0.11223248089486758,20,1,"{'n_neighbors': 20, 'p': 1}",-441020.4743242382,-477137.71564274124,-456328.2101141367,-423565.5351914832,-454836.97930011596,-450577.7829145432,17763.118351783753,17,-407430.2333684569,-402194.2830020132,-403786.48553712125,-416550.0554221222,-405936.0390027374,-407179.41926649015,5015.601798838614
0.1232001781463623,0.004576204048415391,1.7678184986114502,0.03829948944790717,20,2,"{'n_neighbors': 20, 'p': 2}",-548723.9000512686,-604918.5667628316,-535901.0868111239,-522664.8943001158,-575724.2365260719,-557586.5368902824,29453.77190787377,36,-503984.78289939463,-493142.47779547237,-500303.8468893025,-513077.36004989565,-495925.9554616621,-501286.8846191455,6961.770653117472
